name,school,pos,age,ht,bpm,ppg,rpg,apg,spg,bpg,topg,ts_pct
Darren Harris,Duke,G-W,20.9,6'6,2.8,5.8,3.3,0.8,0.3,0.0,0.4,54.3
Anthony Robinson II,Missouri,G,21.5,6'3,2.7,8.9,3.1,3.0,1.6,0.3,1.7,52.4
Tahaad Pettiford,Auburn,G,20.9,6'1,2.7,15.4,3.0,3.8,1.1,0.6,2.2,51.4
Solo Ball,Connecticut,G-W,22.6,6'3,2.7,12.8,3.0,1.5,0.4,0.2,1.2,53.2
Tyrone Riley IV,San Francisco,G-W,20.5,6'6,2.6,12.2,4.8,1.2,1.0,0.5,0.9,56.3
Tobi Lawal,Virginia Tech,F-C,23.1,6'8,2.6,12.3,8.5,0.6,0.3,1.1,2.0,63.5
D.J. Wagner,Arkansas,G,21.1,6'4,2.6,7.4,1.6,2.4,0.9,0.3,0.6,54.5
Donnie Freeman,Syracuse,W-F,20.9,6'9,2.5,16.5,7.2,1.3,0.8,0.9,2.6,57.7
Wesley Yates III,Washington,G-W,21.5,6'4,1.8,12.7,3.3,1.3,1.5,0.3,1.6,49.6
Amarion Dickerson,USC,G-W,23.4,6'7,-0.4,4.6,3.4,1.1,0.8,0.9,1.0,60.6
Neoklis Avdalas,Virginia Tech,W-F,20.4,6'9,1.6,12.1,3.1,4.6,0.6,0.5,2.2,49.1
Layden Blocker,DePaul,G,21.0,6'2,1.2,11.1,2.5,3.5,1.6,0.3,2.2,49.0
Sadiq White Jr.,Syracuse,F-C,20.0,6'9,1.1,6.1,3.3,0.4,0.5,0.6,1.0,56.8
Mouhamed Sylla,Georgia Tech,C,21.4,6'10,0.9,9.6,7.2,0.6,0.8,1.2,1.5,56.1
Bryson Tucker,Washington,W-F,20.0,6'7,0.6,5.7,3.9,0.5,0.3,0.1,0.5,49.1
Jasper Johnson,Kentucky,G,20.3,6'5,-0.3,4.9,1.1,1.6,0.1,0.1,1.0,53.4
Michael Rataj,Baylor,W-F,22.7,6'8,-0.4,7.2,4.6,1.7,0.5,0.4,1.3,48.8
Tyler Harris,Vanderbilt,F-C,21.4,6'8,-0.5,5.5,2.3,0.3,0.2,0.7,0.4,48.5
Joson Sanon,St. John's,G-W,20.5,6'5,-0.7,7.9,2.4,0.7,0.6,0.2,1.0,47.7
Mackenzie Mgbako,Texas A&M,W-F,21.6,6'9,-1.4,10.4,4.9,1.3,0.6,0.1,1.9,54.4
Kanon Catchings,Georgia,W-F,20.9,6'9,3.9,11.6,4.8,1.2,0.8,0.4,1.3,54.6
Dominique Diomande,BYU,W-F,21.0,6'8,3.8,1.9,1.2,0.1,0.7,0.1,0.1,51.6
Peter Suder,Miami OH,G,22.7,6'5,3.8,14.8,4.6,4.0,1.3,0.4,1.9,62.1
Jaron Pierre Jr.,SMU,G-W,23.9,6'6,3.8,17.6,4.9,2.1,1.0,0.4,1.9,56.7
Melvin Council Jr.,Kansas,G,24.2,6'4,3.6,12.7,5.0,5.1,1.0,0.3,1.9,46.4
Ian Jackson,St. John's,G,21.4,6'4,3.6,9.4,2.3,1.3,0.8,0.2,1.4,54.4
Karter Knox,Arkansas,W-F,21.1,6'6,3.5,8.1,4.5,1.2,0.7,0.5,1.0,57.5
Jalen Haralson,Notre Dame,G-W,19.1,6'7,3.5,16.2,4.0,2.6,0.5,0.3,2.9,56.5
Kam Williams,Kentucky,W-F,20.6,6'8,3.4,6.0,2.1,1.0,0.6,0.3,0.6,61.7
Baye Ndongo,Georgia Tech,F-C,23.5,6'9,3.3,11.8,8.1,2.4,0.8,1.0,2.4,59.6
Robert Wright III,BYU,G,20.6,6'1,5.2,18.1,3.5,4.6,1.2,0.0,2.2,56.8
Cayden Boozer,Duke,G,18.9,6'4,5.2,7.7,2.3,3.0,0.8,0.1,1.4,59.2
Milos Uzan,Houston,G,23.5,6'4,5.1,11.1,2.7,4.0,1.0,0.1,1.3,49.3
Coen Carr,Michigan St.,W-F,21.7,6'6,5.1,12.0,5.4,1.2,0.5,0.8,1.3,57.4
Moustapha Thiam,Cincinnati,F-C,20.3,7'2,5.0,12.8,7.1,0.5,0.8,1.6,1.2,56.5
Tre'Von Spillers,Wake Forest,W-F,23.7,6'7,4.9,11.2,5.8,1.7,1.0,1.5,1.1,61.5
Donovan Dent,UCLA,G,22.6,6'2,4.9,13.3,2.9,7.6,1.7,0.3,1.9,46.7
Rienk Mast,Nebraska,W-F,24.9,6'10,4.8,13.3,5.8,3.1,0.4,0.3,1.7,54.0
Jevon Porter,Missouri,W-F,23.0,6'11,4.8,6.2,4.0,1.6,0.8,0.2,0.7,56.9
Jaden Toombs,SMU,F-C,19.1,6'10,4.7,8.3,4.6,1.1,0.5,0.6,0.8,59.6
Paul McNeil Jr.,N.C. State,G-W,20.2,6'5,6.3,13.8,3.6,0.8,0.6,0.4,0.4,63.5
Cade Tyson,Minnesota,G-W,22.9,6'7,6.0,19.6,5.4,2.1,0.8,0.2,1.6,65.0
Jalen Washington,Vanderbilt,C,22.3,6'10,6.0,8.9,5.6,0.9,0.6,1.3,0.9,63.0
Ernest Udeh Jr.,Miami FL,C,22.5,6'11,6.0,6.7,9.2,0.5,1.0,1.4,0.6,68.0
Xavier Booker,UCLA,F-C,21.8,6'11,6.0,7.3,3.5,0.8,0.2,1.2,0.7,63.2
Tre White,Kansas,W-F,23.4,6'7,6.0,13.5,6.7,1.8,0.6,0.4,1.8,60.0
Boogie Fland,Florida,G,20.0,6'3,5.9,11.6,2.5,3.5,1.7,0.1,1.6,53.0
Otega Oweh,Kentucky,G,23.0,6'4,5.9,18.6,4.8,2.7,1.8,0.2,2.1,55.4
Kwame Evans Jr.,Oregon,W-F,21.9,6'10,5.8,13.3,7.4,2.0,1.0,1.3,2.0,58.1
Jaden Henley,Grand Canyon,G-W,22.7,6'7,5.7,17.7,5.7,2.9,1.6,0.2,2.9,56.2
Eric Reibe,Connecticut,C,20.0,7'1,5.5,5.9,3.3,0.5,0.2,0.7,0.6,65.5
Braylon Mullins,Connecticut,G-W,20.2,6'6,5.4,12.0,3.5,1.4,1.0,0.6,1.2,54.4
De'Shayne Montgomery,Dayton,G,22.7,6'4,5.3,13.4,4.0,2.1,2.1,0.6,1.9,59.0
Daniel Jacobsen,Purdue,C,20.2,7'4,5.3,5.5,3.0,0.3,0.1,1.2,0.5,65.8
KJ Lewis,Georgetown,G,21.9,6'4,5.2,14.9,5.1,2.5,2.1,0.6,2.3,51.5
Josh Hubbard,Mississippi St.,G,21.5,6'0,5.2,22.1,2.5,3.6,1.2,0.1,2.4,54.4
Chad Baker-Mazara,USC,W-F,26.4,6'7,8.0,18.5,4.2,2.8,0.7,1.3,2.3,60.0
Tyler Bilodeau,UCLA,W-F,22.2,6'9,7.9,17.6,5.6,1.1,0.5,0.4,1.4,65.6
Sananda Fru,Louisville,C,22.8,6'11,7.7,9.0,6.1,1.2,0.5,1.4,1.3,74.0
Alvaro Folgueiras,Iowa,W-F,21.2,6'10,7.5,8.4,3.6,2.2,0.9,0.2,1.2,62.2
Miles Byrd,San Diego St.,G-W,21.8,6'7,7.5,10.4,4.7,2.6,1.9,1.2,2.0,52.8
Malik Reneau,Miami FL,F-C,23.2,6'9,7.3,18.9,6.5,2.1,1.1,0.8,3.0,61.8
Lamar Wilkerson,Indiana,G-W,24.6,6'6,7.2,20.9,3.5,2.4,1.0,0.2,1.6,60.9
Tobe Awaka,Arizona,F-C,22.4,6'8,7.1,9.3,9.1,0.8,0.4,0.6,1.0,61.7
Trey Kaufman-Renn,Purdue,C,23.9,6'9,7.1,14.2,8.3,2.5,0.4,0.2,1.4,59.0
Najai Hines,Seton Hall,C,19.3,6'10,7.0,6.5,5.5,0.6,0.4,2.2,0.9,62.3
Xaivian Lee,Florida,G,22.3,6'3,6.9,11.6,3.7,4.2,1.2,0.1,1.8,53.6
Tomislav Ivisic,Illinois,F-C,22.9,7'1,6.9,10.4,5.6,1.6,0.3,0.6,1.3,59.7
Blue Cain,Georgia,G-W,21.8,6'5,6.9,13.1,5.1,2.6,1.4,0.2,1.1,58.3
Thomas Haugh,Florida,W-F,23.0,6'9,9.7,17.1,6.1,2.1,1.1,1.0,1.5,58.6
Motiejus Krivas,Arizona,C,21.6,7'2,9.6,10.4,8.2,1.1,0.7,1.9,1.4,63.8
Alex Condon,Florida,F-C,21.9,6'11,9.5,15.1,7.5,3.6,0.7,1.4,2.4,59.4
Patrick Ngongba,Duke,C,20.4,6'11,9.4,10.1,5.8,2.0,0.6,1.1,1.3,64.5
Graham Ike,Gonzaga,F-C,23.9,6'9,9.4,19.9,8.0,2.4,0.7,0.8,1.8,62.7
Zvonimir Ivisic,Illinois,F-C,22.9,7'2,9.3,6.4,4.5,0.3,0.2,1.9,0.5,60.8
Joseph Tugler,Houston,F-C,21.1,6'8,9.2,8.4,5.3,1.3,1.3,1.5,1.3,60.1
Izaiyah Nelson,South Florida,C,22.7,6'10,8.6,15.9,9.6,1.2,1.6,1.4,1.3,60.9
Baba Miller,Cincinnati,F-C,22.4,6'11,8.5,13.0,10.3,3.7,0.7,1.2,2.2,57.6
Nick Boyd,Wisconsin,G,25.2,6'3,8.5,20.7,3.8,4.3,1.0,0.0,1.7,58.8
JT Toppin,Texas Tech,F-C,21.0,6'9,8.5,21.8,10.8,2.1,1.4,1.7,2.3,57.1
David Mirkovic,Illinois,W-F,20.5,6'9,8.4,13.3,8.0,2.6,0.4,0.4,1.9,59.2
Nolan Winter,Wisconsin,W-F,21.6,7'0,8.2,13.1,8.5,1.5,0.5,1.2,0.8,64.8
Silas Demary Jr.,Connecticut,G,22.0,6'4,8.1,10.1,4.5,5.9,1.6,0.3,2.3,57.2
Fletcher Loyer,Purdue,G,22.8,6'4,8.1,14.1,2.3,2.1,0.7,0.1,1.0,64.4
Robbie Avila,Saint Louis,W-F,22.8,6'10,8.1,12.8,4.5,4.1,0.6,0.5,1.7,64.4
Ivan Kharchenkov,Arizona,G-W,19.8,6'7,8.0,10.4,4.3,2.3,1.4,0.3,1.4,57.5
Cameron Carr,Baylor,G-W,21.6,6'5,8.0,18.9,5.8,2.6,0.9,1.3,2.4,61.8
Christian Anderson,Texas Tech,G,20.2,6'3,8.3,18.5,3.6,7.4,1.5,0.2,3.4,62.6
Meleek Thomas,Arkansas,G,19.9,6'5,5.9,15.6,3.8,2.5,1.5,0.2,1.0,55.9
Chris Cenac Jr.,Houston,F-C,19.4,6'11,6.1,9.5,7.9,0.7,0.8,0.5,0.9,54.6
Richie Saunders,BYU,G-W,24.8,6'5,9.0,18.0,5.8,2.1,1.7,0.3,1.6,63.2
Braden Smith,Purdue,G,22.9,6'0,8.8,14.3,3.5,8.8,1.7,0.2,2.8,55.2
Henri Veesaar,North Carolina,W-F,22.2,7'0,9.6,17.0,8.7,2.1,0.6,1.2,1.8,66.4
Darrion Williams,N.C. State,G-W,23.2,6'6,3.9,14.0,4.6,2.8,1.1,0.3,1.6,53.3
Tarris Reed Jr.,Connecticut,C,22.9,6'10,11.6,14.7,9.0,2.3,0.9,2.0,1.9,61.4
Ryan Conwell,Louisville,G,22.0,6'3,5.9,18.8,4.8,2.7,1.1,0.2,2.3,56.6
Nate Bittle,Oregon,F-C,23.1,7'0,8.0,16.8,6.9,2.6,0.9,1.8,2.2,56.3
Bruce Thornton,Ohio St.,G,22.8,6'2,11.6,19.9,5.1,3.9,1.1,0.2,1.3,66.5
Alex Karaban,Connecticut,W-F,23.6,6'8,7.8,13.2,5.3,2.4,0.8,0.8,1.1,59.0
Trevon Brazile,Arkansas,W-F,23.5,6'10,8.1,13.0,7.3,1.6,1.5,1.6,1.1,61.9
Quadir Copeland,N.C. State,G,22.7,6'6,6.3,13.9,3.6,6.5,1.8,0.1,2.8,59.2
Nick Martinelli,Northwestern,W-F,22.2,6'7,7.3,23.0,6.2,2.0,0.8,0.4,1.4,60.2
Tamin Lipsey,Iowa St.,G,23.0,6'1,9.9,13.5,3.9,5.1,2.3,0.0,1.5,54.0
Jaden Bradley,Arizona,G,22.8,6'3,7.5,13.3,3.4,4.4,1.4,0.1,1.8,56.8
Dillon Mitchell,St. John's,F-C,22.7,6'8,8.2,8.3,7.0,3.0,1.3,0.7,1.0,55.5
Kylan Boswell,Illinois,G,21.2,6'2,5.8,12.3,4.0,3.0,0.7,0.0,1.1,55.9
Emanuel Sharp,Houston,G,22.3,6'3,9.4,15.5,3.0,1.7,1.2,0.1,0.9,58.2
Tucker DeVries,Indiana,G-W,23.6,6'7,6.1,13.7,5.2,3.3,1.1,0.6,1.5,54.6
Tyler Nickel,Vanderbilt,G-W,22.8,6'7,6.6,13.5,3.2,1.2,0.8,0.5,0.7,61.7
Micah Handlogten,Florida,C,22.5,7'1,7.3,4.1,5.9,0.7,0.5,0.9,0.7,61.0
Oscar Cluff,Purdue,C,24.6,6'11,10.0,10.6,7.5,1.8,0.5,0.9,0.8,69.4
Rafael Castro,George Washington,C,23.2,6'11,8.9,15.3,9.1,1.7,1.8,1.7,1.9,64.6
Ja'Kobi Gillespie,Tennessee,G,22.3,6'1,9.9,18.4,2.8,5.4,2.1,0.2,2.3,53.8
Duke Miles,Vanderbilt,G,24.4,6'2,10.1,16.1,3.0,4.5,2.6,0.2,1.8,59.5
Jaxon Kohler,Michigan St.,F-C,23.0,6'9,9.1,12.5,8.9,1.3,0.6,0.7,1.4,61.5
Yaxel Lendeborg,Michigan,W-F,23.7,6'9,15.1,15.1,6.8,3.2,1.1,1.2,1.0,64.6
Kingston Flemings,Houston,G,19.5,6'4,11.4,16.1,4.1,5.2,1.5,0.3,1.8,56.3
Keaton Wagler,Illinois,G,19.4,6'6,11.0,17.9,5.1,4.2,0.9,0.4,1.8,59.6
Darius Acuff Jr.,Arkansas,G,19.6,6'3,8.9,23.5,3.1,6.4,0.8,0.3,2.1,60.4
Hannes Steinbach,Washington,F-C,20.1,6'11,9.0,18.5,11.8,1.6,1.1,1.2,2.0,63.6
Aday Mara,Michigan,C,21.2,7'3,12.7,12.1,6.8,2.4,0.4,2.6,2.0,65.8
Ebuka Okorie,Stanford,G,19.2,6'2,9.6,23.2,3.6,3.6,1.6,0.3,1.9,58.9
Allen Graves,Santa Clara,W-F,19.9,6'9,12.7,11.8,6.5,1.8,1.9,0.9,0.7,61.5
Brayden Burries,Arizona,G-W,20.8,6'4,10.4,16.1,4.9,2.4,1.5,0.2,1.4,61.6
Morez Johnson Jr.,Michigan,F-C,20.4,6'9,10.1,13.1,7.3,1.2,0.7,1.1,1.3,67.7
Dailyn Swain,Texas,W-F,20.9,6'8,9.5,17.3,7.5,3.6,1.6,0.3,2.8,63.3
Nate Ament,Tennessee,W-F,19.5,6'10,7.2,16.7,6.3,2.3,1.0,0.6,2.3,53.4
Labaron Philon,Alabama,G,20.6,6'4,10.3,22.0,3.5,5.0,1.2,0.2,2.5,62.6
Bennett Stirtz,Iowa,G,22.7,6'4,9.1,19.8,2.6,4.4,1.4,0.2,1.8,60.7
Jayden Quaintance,Kentucky,C,19.0,6'11,0.6,5.0,5.0,0.5,0.5,0.8,1.7,49.6
Isaiah Evans,Duke,G-W,20.6,6'6,8.2,15.0,3.2,1.3,0.7,0.7,1.2,59.0
Zuby Ejiofor,St. John's,F-C,22.2,6'9,13.5,16.3,7.3,3.5,1.2,2.1,2.1,60.9
Koa Peat,Arizona,W-F,19.4,6'8,7.4,14.1,5.6,2.6,0.6,0.7,1.6,55.7
Joshua Jefferson,Iowa St.,W-F,22.6,6'9,11.6,16.4,7.4,4.8,1.6,0.8,2.5,56.0
Cameron Boozer,Duke,W-F,18.9,6'9,17.1,22.5,10.2,4.1,1.4,0.6,2.6,65.3
Darryn Peterson,Kansas,G-W,19.4,6'5,12.4,20.2,4.2,1.6,1.4,0.6,1.6,57.8
AJ Dybantsa,BYU,W-F,19.4,6'9,10.1,25.5,6.8,3.7,1.1,0.3,3.1,60.0
Caleb Wilson,North Carolina,W-F,19.9,6'10,12.7,19.8,9.4,2.7,1.5,1.4,1.9,62.6
Mikel Brown Jr.,Louisville,G,20.2,6'5,5.4,18.2,3.3,4.7,1.2,0.1,3.1,57.7
