player_id,player_name,GP,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,MIN
1628963,Marvin Bagley III,349,11.8,6.5,1.0,0.5,0.6,1.1,0.531,0.308,0.685,22.0
203486,Mason Plumlee,880,7.9,6.6,2.3,0.7,0.8,1.4,0.596,0.039,0.577,21.6
1641824,Matas Buzelis,157,12.4,4.6,1.5,0.5,1.2,1.5,0.46,0.353,0.795,23.9
1629680,Matisse Thybulle,377,5.0,2.0,1.1,1.6,0.8,0.6,0.438,0.349,0.683,20.6
1631108,Max Christie,263,8.0,2.8,1.4,0.5,0.3,0.9,0.433,0.386,0.864,22.2
1642917,Max Shulga,11,0.6,0.5,0.2,0.1,0.0,0.3,0.25,0.25,1.0,3.3
1629622,Max Strus,321,10.4,3.5,2.3,0.5,0.2,1.0,0.427,0.37,0.811,25.5
1628467,Maxi Kleber,483,6.0,4.2,1.1,0.4,0.8,0.7,0.444,0.352,0.763,21.3
1642875,Maxime Raynaud,74,12.5,7.5,1.4,0.5,0.5,1.3,0.571,0.324,0.786,26.5
1642877,Micah Peavy,61,4.3,1.9,1.0,0.7,0.1,0.3,0.385,0.259,0.759,15.0
1630695,Micah Potter,111,6.4,4.2,1.0,0.4,0.3,0.8,0.49,0.389,0.84,17.0
1629008,Michael Porter Jr.,397,17.3,6.5,1.6,0.7,0.5,1.3,0.493,0.398,0.812,29.5
1628969,Mikal Bridges,638,14.7,3.9,2.9,1.2,0.6,1.2,0.485,0.371,0.842,33.2
201144,Mike Conley,1226,13.6,2.9,5.5,1.3,0.2,1.8,0.436,0.387,0.826,30.7
2065,Mike Smith,17,3.0,1.3,0.6,0.3,0.2,0.4,0.322,0.167,0.625,10.5
1628970,Miles Bridges,501,15.9,6.1,2.8,0.7,0.7,1.6,0.461,0.338,0.825,30.9
1642939,Miles Kelly,14,3.1,1.7,0.9,0.3,0.1,0.4,0.364,0.303,1.0,9.5
1630540,Miles McBride,277,7.1,1.6,1.9,0.7,0.2,0.5,0.409,0.374,0.781,18.5
1629011,Mitchell Robinson,397,7.5,8.0,0.7,0.9,1.7,0.7,0.702,0.0,0.508,23.4
1628964,Mo Bamba,368,6.7,5.4,0.8,0.4,1.3,0.8,0.477,0.356,0.682,16.7
1642885,Mohamed Diawara,69,3.6,1.4,0.8,0.2,0.1,0.4,0.423,0.369,0.75,9.2
1628420,Monté Morris,426,9.4,2.3,3.6,0.7,0.2,0.7,0.473,0.388,0.824,23.2
1629021,Moritz Wagner,399,9.0,3.9,1.2,0.5,0.3,1.1,0.518,0.323,0.808,16.2
1630541,Moses Moody,315,8.0,2.4,1.0,0.6,0.3,0.6,0.447,0.378,0.773,18.3
1631338,Mouhamadou Gueye,13,3.2,2.2,0.8,0.4,1.5,1.2,0.347,0.125,0.538,12.7
1631243,Mouhamed Gueye,116,4.9,3.8,0.9,0.8,0.7,0.4,0.436,0.291,0.7,15.4
1630619,Moussa Cisse,38,4.5,5.7,0.2,0.5,1.2,0.8,0.574,0.0,0.469,13.9
1631217,Moussa Diabaté,177,6.0,6.5,1.2,0.6,0.7,0.8,0.606,0.2,0.634,19.2
1626167,Myles Turner,713,13.9,6.6,1.3,0.7,2.1,1.4,0.494,0.365,0.769,28.6
1642066,Myron Gardner,45,3.6,2.7,1.0,0.4,0.2,0.4,0.48,0.406,0.731,9.1
1642368,N'Faly Dante,8,3.4,3.5,0.3,0.4,0.6,0.4,0.647,0.0,0.833,8.3
1641772,Nae'Qwan Tomlin,69,5.9,3.0,0.8,0.6,0.5,0.4,0.471,0.232,0.764,15.5
1630230,Naji Marshall,373,10.1,4.0,2.5,0.8,0.2,1.3,0.471,0.3,0.777,23.0
1629675,Naz Reid,483,11.9,5.1,1.5,0.7,0.9,1.3,0.481,0.371,0.728,21.7
1629674,Neemias Queta,186,7.0,5.6,1.1,0.5,0.9,0.7,0.642,0.091,0.707,17.6
1629651,Nic Claxton,380,10.6,7.6,2.1,0.7,1.6,1.2,0.622,0.186,0.555,26.2
1630208,Nick Richards,305,7.1,5.8,0.6,0.2,0.8,1.0,0.621,0.261,0.724,17.6
1641733,Nick Smith Jr.,141,7.6,1.6,1.7,0.3,0.1,1.0,0.398,0.374,0.882,17.5
1629638,Nickeil Alexander-Walker,459,10.6,2.6,2.5,0.8,0.4,1.3,0.427,0.372,0.807,23.0
201587,Nicolas Batum,1205,9.6,4.7,3.0,0.9,0.6,1.4,0.436,0.371,0.831,28.2
1628502,Nigel Hayes-Davis,36,1.7,1.5,0.4,0.3,0.1,0.3,0.329,0.188,0.429,8.8
203999,Nikola Jokić,810,22.2,11.1,7.5,1.3,0.7,3.0,0.561,0.362,0.825,32.0
1631107,Nikola Jović,154,8.3,3.6,2.2,0.6,0.3,1.1,0.425,0.341,0.756,19.9
1642260,Nikola Topić,10,5.2,1.9,4.4,0.5,0.0,2.5,0.431,0.4,0.4,16.0
202696,Nikola Vučević,1036,17.1,10.3,2.9,0.8,0.9,1.7,0.497,0.35,0.773,31.2
1642363,Nique Clifford,75,8.6,3.8,2.4,0.9,0.3,1.5,0.418,0.333,0.722,25.1
1642855,Noa Essengue,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.0
1641730,Noah Clowney,135,10.1,4.0,1.2,0.6,0.6,1.2,0.395,0.332,0.802,23.6
1642869,Noah Penda,59,3.8,3.2,1.2,0.5,0.3,0.7,0.404,0.323,0.688,12.8
1642849,Nolan Traore,56,8.9,1.8,3.8,0.8,0.4,2.3,0.38,0.318,0.787,22.2
1626181,Norman Powell,675,14.0,2.7,1.6,0.8,0.3,1.3,0.471,0.396,0.824,24.7
1630167,Obi Toppin,386,8.7,3.5,1.3,0.4,0.3,0.7,0.521,0.355,0.786,17.3
1630534,Ochai Agbaji,263,7.2,2.7,1.1,0.6,0.4,0.7,0.448,0.339,0.755,21.1
1628384,OG Anunoby,559,13.3,4.5,1.7,1.3,0.6,1.4,0.476,0.377,0.774,30.6
1641765,Olivier-Maxence Prosper,145,5.9,2.7,0.8,0.5,0.2,0.5,0.481,0.348,0.706,13.1
1630209,Omer Yurtseven,122,4.9,4.5,0.7,0.2,0.3,0.7,0.529,0.196,0.655,11.8
1630168,Onyeka Okongwu,381,10.7,6.9,1.6,0.8,1.1,1.1,0.573,0.356,0.756,24.2
1631115,Orlando Robinson,115,4.6,3.8,1.2,0.3,0.3,0.7,0.473,0.347,0.754,13.2
1631131,Oscar Tshiebwe,49,7.0,6.5,0.9,0.6,0.1,0.6,0.613,0.0,0.636,15.2
1642345,Oso Ighodaro,143,5.5,4.5,1.8,0.7,0.6,1.0,0.637,0.0,0.491,20.0
1631172,Ousmane Dieng,166,5.4,2.5,1.5,0.4,0.2,0.8,0.423,0.314,0.72,14.7
1629023,P.J. Washington,446,13.3,6.0,2.2,1.0,1.0,1.6,0.448,0.354,0.705,30.6
1642359,Pacôme Dadiet,47,1.7,1.0,0.4,0.1,0.1,0.1,0.329,0.255,0.765,5.2
1631094,Paolo Banchero,270,22.3,7.4,4.8,0.8,0.6,3.0,0.449,0.317,0.743,34.5
1627783,Pascal Siakam,691,18.5,6.6,3.6,0.9,0.6,1.8,0.497,0.342,0.754,31.4
1626192,Pat Connaughton,637,5.8,3.3,1.3,0.5,0.3,0.5,0.438,0.357,0.767,18.4
1630311,Pat Spencer,111,5.2,1.9,2.6,0.6,0.1,0.9,0.423,0.339,0.764,13.5
1631116,Patrick Baldwin Jr.,102,3.7,2.1,0.5,0.3,0.3,0.4,0.405,0.376,0.667,9.1
1630172,Patrick Williams,348,9.0,3.9,1.5,0.8,0.6,1.2,0.438,0.381,0.762,25.7
202331,Paul George,945,20.5,6.2,3.7,1.7,0.4,2.6,0.44,0.384,0.852,33.5
1630194,Paul Reed,325,5.5,4.1,0.9,0.8,0.8,0.7,0.565,0.31,0.69,12.8
1630202,Payton Pritchard,426,10.6,3.0,3.0,0.6,0.1,0.9,0.457,0.394,0.869,22.4
1641796,Pelle Larsson,125,8.4,2.7,2.4,0.6,0.2,1.0,0.48,0.328,0.771,21.0
1631250,Pete Nance,68,4.3,2.2,0.9,0.3,0.2,0.5,0.496,0.417,0.333,13.3
1631212,Peyton Watson,225,8.7,3.5,1.3,0.6,1.1,1.0,0.479,0.361,0.697,21.9
1641790,PJ Hall,38,3.1,2.6,0.4,0.1,0.4,0.5,0.53,0.385,0.788,7.3
1630173,Precious Achiuwa,393,8.0,5.9,1.1,0.6,0.7,1.0,0.494,0.299,0.596,20.7
1629656,Quentin Grimes,318,11.1,3.2,2.3,0.8,0.3,1.3,0.446,0.366,0.793,25.6
1631245,Quenton Jackson,89,7.5,1.9,2.4,0.6,0.1,0.9,0.469,0.341,0.809,16.0
1642366,Quinten Post,109,7.8,3.8,1.4,0.4,0.5,0.8,0.443,0.364,0.786,16.9
1642853,Rasheer Fleming,55,4.3,2.3,0.3,0.4,0.4,0.5,0.405,0.346,0.559,12.2
1641712,Rayan Rupert,155,4.1,2.3,1.0,0.5,0.1,0.7,0.381,0.322,0.771,14.0
1642484,RayJ Dennis,28,3.7,1.4,1.7,0.4,0.2,0.8,0.319,0.303,0.909,9.9
1642263,Reed Sheppard,134,10.0,2.4,2.6,1.2,0.5,1.2,0.414,0.383,0.804,20.9
1642434,Riley Minix,10,3.5,0.8,0.5,0.2,0.1,0.3,0.583,0.308,1.0,6.4
1629628,RJ Barrett,444,18.9,5.5,3.3,0.7,0.3,2.2,0.447,0.345,0.7,32.7
1642265,Rob Dillingham,114,5.5,1.6,2.1,0.6,0.1,1.3,0.411,0.324,0.7,13.0
1629057,Robert Williams III,294,7.1,6.9,1.3,0.7,1.6,0.9,0.72,0.333,0.661,19.6
1642911,Rocco Zikarsky,5,2.8,2.8,0.4,0.0,1.0,0.2,0.625,0.0,1.0,7.2
1629641,Romeo Langford,141,4.6,2.1,0.7,0.4,0.3,0.5,0.43,0.288,0.659,16.1
1631199,Ron Harper Jr.,40,3.7,1.6,0.7,0.3,0.3,0.2,0.41,0.326,0.857,9.6
1641842,Ronald Holland II,159,7.3,3.4,1.1,0.9,0.3,1.1,0.45,0.246,0.782,17.7
1626220,Royce O'Neale,678,7.4,4.8,2.4,0.8,0.4,1.0,0.425,0.389,0.765,26.4
203497,Rudy Gobert,905,12.5,11.7,1.4,0.7,2.0,1.6,0.658,0.0,0.633,30.7
1629060,Rui Hachimura,405,12.6,4.6,1.2,0.6,0.3,0.8,0.499,0.394,0.758,27.8
201566,Russell Westbrook,1301,20.9,6.9,8.0,1.6,0.3,3.9,0.438,0.308,0.771,33.1
1642346,Ryan Dunn,144,6.4,3.9,1.1,0.7,0.5,0.7,0.44,0.319,0.488,19.2
1641750,Ryan Kalkbrenner,69,7.6,5.5,0.8,0.5,1.5,0.9,0.753,0.0,0.716,21.4
1642948,Ryan Nembhard,60,6.6,2.2,5.3,0.4,0.0,1.4,0.415,0.356,0.806,19.5
1631157,Ryan Rollins,155,10.9,3.0,3.5,1.1,0.3,1.8,0.474,0.408,0.8,21.5
1630180,Saddiq Bey,364,14.8,5.3,2.0,0.9,0.2,1.0,0.418,0.355,0.842,30.4
1630573,Sam Hauser,334,7.8,3.1,1.0,0.4,0.3,0.4,0.442,0.412,0.851,19.9
1630241,Sam Merrill,225,8.0,2.0,1.6,0.5,0.1,0.5,0.424,0.397,0.89,18.6
1630572,Sandro Mamukelashvili,271,7.0,3.7,1.2,0.4,0.3,0.6,0.494,0.366,0.739,14.6
1630583,Santi Aldama,278,10.4,5.4,2.1,0.7,0.6,1.0,0.463,0.346,0.686,23.4
1630703,Scoot Henderson,158,13.5,3.0,5.0,0.9,0.2,2.9,0.404,0.343,0.802,27.0
1630567,Scottie Barnes,356,17.4,7.5,5.2,1.3,1.1,2.4,0.475,0.301,0.773,34.3
1630590,Scotty Pippen Jr.,116,10.2,3.0,4.3,1.4,0.4,1.9,0.477,0.393,0.721,21.1
203552,Seth Curry,560,9.9,2.0,1.9,0.6,0.1,0.9,0.471,0.433,0.864,22.3
1631101,Shaedon Sharpe,234,15.7,4.0,2.2,0.8,0.2,1.9,0.45,0.332,0.781,28.0
1628983,Shai Gilgeous-Alexander,530,25.3,4.7,5.3,1.4,0.8,2.3,0.508,0.36,0.864,33.1
1631321,Sidy Cissoko,109,4.2,1.9,1.2,0.6,0.3,0.8,0.408,0.283,0.652,15.5
1631323,Simone Fontecchio,263,7.8,2.9,1.2,0.5,0.2,0.8,0.417,0.367,0.828,18.3
1642883,Sion James,82,5.4,3.5,2.0,0.6,0.2,0.8,0.371,0.352,0.837,22.5
1627746,Skal Labissiere,155,7.0,4.3,1.0,0.4,0.6,1.0,0.493,0.352,0.748,17.1
1642461,Spencer Jones,84,4.5,2.7,0.7,0.7,0.4,0.4,0.483,0.36,0.63,18.3
1630649,Stanley Umude,49,3.0,1.4,0.3,0.3,0.3,0.3,0.381,0.386,0.868,8.2
1642264,Stephon Castle,149,15.6,4.4,5.6,1.0,0.3,2.6,0.448,0.305,0.729,28.2
203500,Steven Adams,796,8.7,8.0,1.5,0.8,0.9,1.4,0.584,0.059,0.534,25.7
1629004,Svi Mykhailiuk,381,6.9,1.9,1.5,0.5,0.1,0.9,0.414,0.368,0.778,17.2
204456,T.J. McConnell,762,7.8,2.9,5.0,1.2,0.2,1.6,0.518,0.343,0.782,20.8
1643007,Taelon Peter,38,4.5,1.6,1.1,0.7,0.1,0.7,0.38,0.328,0.625,12.9
201959,Taj Gibson,1012,8.3,5.7,0.9,0.5,1.0,1.0,0.517,0.272,0.713,22.9
1631106,Tari Eason,221,10.4,6.3,1.3,1.3,0.7,1.2,0.451,0.35,0.748,23.6
1627752,Taurean Prince,608,9.8,3.6,1.7,0.8,0.4,1.4,0.429,0.387,0.812,24.7
1641707,Taylor Hendricks,102,7.3,4.1,0.9,0.8,0.6,0.8,0.449,0.354,0.714,20.1
1629611,Terance Mann,475,8.0,3.5,2.1,0.6,0.2,0.8,0.496,0.371,0.782,22.4
1630545,Terrence Shannon Jr.,75,5.1,1.3,0.9,0.3,0.1,0.5,0.463,0.393,0.802,11.7
1626179,Terry Rozier,665,13.9,3.9,3.5,0.9,0.2,1.3,0.418,0.361,0.829,27.6
203648,Thanasis Antetokounmpo,232,2.3,1.5,0.6,0.3,0.2,0.5,0.506,0.134,0.536,7.2
1628418,Thomas Bryant,393,8.5,4.9,0.9,0.3,0.7,0.7,0.573,0.348,0.781,16.9
1642275,Tidjane Salaün,97,5.9,4.4,1.0,0.5,0.2,0.9,0.385,0.326,0.694,18.8
203501,Tim Hardaway Jr.,893,13.7,2.8,1.8,0.6,0.1,0.9,0.419,0.365,0.815,27.3
202699,Tobias Harris,1033,15.9,6.1,2.4,0.8,0.5,1.4,0.478,0.366,0.838,31.4
1628396,Tony Bradley,234,4.3,3.8,0.5,0.2,0.5,0.5,0.618,0.474,0.684,10.9
1641787,Tosan Evbuomwan,50,7.4,3.6,1.4,0.6,0.3,1.0,0.445,0.33,0.735,20.8
1641739,Toumani Camara,230,10.9,5.3,2.0,1.2,0.5,1.5,0.448,0.367,0.727,30.5
1629027,Trae Young,498,25.1,3.4,9.8,1.0,0.2,4.2,0.433,0.352,0.872,34.1
1631218,Trayce Jackson-Davis,183,6.2,4.4,1.2,0.4,0.8,0.6,0.631,0.2,0.555,14.2
1642848,Tre Johnson,60,12.2,2.8,2.0,0.6,0.3,1.6,0.419,0.358,0.874,24.0
1630200,Tre Jones,362,9.4,2.8,4.8,0.9,0.1,1.1,0.503,0.312,0.84,22.6
1630544,Tre Mann,234,8.5,2.6,2.1,0.7,0.1,1.2,0.402,0.345,0.795,19.3
1630570,Trendon Watford,270,7.6,3.6,2.0,0.5,0.3,1.2,0.519,0.325,0.761,17.3
1642280,Trentyn Flowers,8,1.9,0.6,0.1,0.0,0.0,0.3,0.429,0.0,1.0,4.0
1630286,Trevon Scott,8,6.8,4.1,1.3,1.1,0.8,0.5,0.393,0.3,0.667,24.1
1631211,Trevor Keels,11,1.0,0.4,0.0,0.1,0.0,0.0,0.25,0.231,0.0,2.0
1641725,Trey Alexander,33,2.4,0.7,0.6,0.2,0.1,0.2,0.41,0.31,0.667,6.9
1641998,Trey Jemison III,76,3.7,3.4,0.6,0.3,0.6,0.9,0.555,0.0,0.593,13.8
1630530,Trey Murphy III,317,15.4,4.3,2.2,1.0,0.4,1.1,0.459,0.382,0.878,29.0
1641783,Tristan da Silva,151,8.6,3.5,1.6,0.7,0.3,0.8,0.433,0.357,0.88,23.4
1641774,Tristan Vukcevic,94,9.1,3.3,1.1,0.4,0.7,1.2,0.481,0.348,0.78,14.2
1641803,Tristen Newton,9,1.7,0.8,0.2,0.2,0.0,0.2,0.294,0.25,0.75,3.1
1629660,Ty Jerome,244,9.3,2.1,3.0,0.7,0.1,1.0,0.46,0.386,0.854,18.3
1629639,Tyler Herro,394,19.5,5.0,4.1,0.7,0.2,2.2,0.45,0.382,0.878,32.5
1642278,Tyler Kolek,103,3.4,1.2,2.3,0.3,0.1,0.7,0.409,0.36,0.73,9.9
1641890,Tyler Smith,35,3.5,1.7,0.3,0.3,0.1,0.4,0.45,0.354,0.714,8.2
1630169,Tyrese Haliburton,333,17.5,3.7,8.8,1.5,0.6,2.1,0.477,0.392,0.855,33.0
1631213,Tyrese Martin,122,6.8,2.8,1.7,0.5,0.1,1.0,0.401,0.337,0.761,17.7
1630178,Tyrese Maxey,388,21.1,3.2,4.8,1.1,0.4,1.6,0.461,0.377,0.873,33.1
1642878,Tyrese Proctor,50,5.4,1.3,1.5,0.5,0.0,0.8,0.413,0.351,0.889,10.9
1630623,Tyson Etienne,31,7.9,1.2,1.7,0.5,0.0,0.8,0.381,0.368,0.826,17.1
1631102,TyTy Washington Jr.,74,2.9,0.9,1.1,0.4,0.1,0.3,0.357,0.243,0.542,9.4
1626145,Tyus Jones,749,7.3,1.9,4.2,0.9,0.1,0.8,0.441,0.372,0.82,20.6
1641705,Victor Wembanyama,181,23.4,11.0,3.5,1.1,3.5,3.1,0.484,0.342,0.817,30.4
1631246,Vince Williams Jr.,134,7.7,4.2,3.0,0.7,0.4,1.5,0.4,0.322,0.796,21.3
1630249,Vít Krejčí,203,6.5,2.4,1.8,0.6,0.3,0.7,0.458,0.393,0.754,19.4
1642845,VJ Edgecombe,75,16.0,5.6,4.2,1.4,0.5,1.8,0.438,0.354,0.818,35.0
1642884,Vladislav Goldin,9,0.8,1.0,0.3,0.0,0.3,0.3,0.75,0.0,1.0,2.6
1631117,Walker Kessler,201,9.5,9.3,1.2,0.5,2.4,1.1,0.681,0.266,0.545,25.3
1642383,Walter Clayton Jr.,69,7.8,2.0,4.0,0.6,0.3,1.7,0.384,0.307,0.901,20.4
1628976,Wendell Carter Jr.,461,11.9,8.1,2.0,0.7,0.7,1.5,0.51,0.316,0.74,27.6
1631111,Wendell Moore Jr.,96,2.3,1.4,0.7,0.4,0.1,0.4,0.464,0.246,0.828,8.2
1642954,Will Richard,69,6.4,2.5,1.3,1.2,0.1,0.8,0.468,0.335,0.852,19.9
1642860,Will Riley,74,10.3,2.9,2.0,0.7,0.1,1.3,0.439,0.316,0.8,22.1
1630214,Xavier Tillman,290,4.9,3.5,1.1,0.8,0.5,0.6,0.506,0.246,0.572,15.0
1642905,Yang Hansen,43,2.2,1.5,0.5,0.1,0.2,0.7,0.31,0.119,0.824,7.0
1642949,Yanic Konan Niederhäuser,41,4.3,2.9,0.3,0.1,0.7,0.6,0.64,0.2,0.758,10.3
1642530,Yuki Kawamura,40,2.5,1.1,1.7,0.3,0.0,0.5,0.341,0.3,0.857,7.5
1642274,Yves Missi,139,7.5,7.1,1.3,0.4,1.4,1.0,0.546,0.0,0.601,23.4
1642258,Zaccharie Risacher,142,11.1,3.7,1.2,0.8,0.5,1.1,0.457,0.36,0.686,23.6
1628380,Zach Collins,388,8.0,4.9,1.8,0.4,0.7,1.4,0.485,0.334,0.765,18.9
1641744,Zach Edey,77,9.9,8.7,1.0,0.6,1.4,1.5,0.589,0.333,0.723,22.1
203897,Zach LaVine,693,20.7,4.0,3.9,0.9,0.3,2.6,0.47,0.391,0.835,32.7
1630192,Zeke Nnaji,303,4.1,2.3,0.4,0.3,0.5,0.4,0.503,0.345,0.671,12.0
1630533,Ziaire Williams,269,8.7,3.0,1.2,0.8,0.3,1.0,0.422,0.322,0.824,21.4
1629627,Zion Williamson,276,23.8,6.4,4.1,1.0,0.6,2.7,0.591,0.324,0.695,31.0
1642389,Zyon Pullin,8,2.9,0.4,1.1,0.1,0.0,0.4,0.643,0.333,1.0,5.6
